CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
v1167,c16a9e6d-c0f7-47a0-8e52-3abadc5059c9,VALID,Järjestys,Ordning,Public order,Tässä luokassa käsitellään yhteiskuntajärjestyksen ja turvallisuuden ylläpitoa normaalioloissa. Luokkaan kuuluvat ensi sijassa poliisin ja muiden järjestyksen valvonnasta vastuussa olevien palvelut.,I denna grupp behandlas upprätthållande av samhällsordningen och säkerheten under normala förhållanden. Gruppen omfattar främst tjänster som tillhandahålls av polisen och andra parter som ansvarar för övervakningen av ordningen.,"This class contains the maintenance of public order, safety and security in normal conditions. Primarily, the class includes the services of the police and other parties responsible for maintaining order.",,,,
v1168,125fc9bc-1fdf-4f0f-8559-79e2c2de6008,VALID,Järjestyksen valvonta ja poliisin myöntämät luvat,Övervakning av ordning och tillstånd som beviljas av polisen,Maintaining public order and licences and permits granted by the police,"Tähän palvelualaluokkaan kuuluvat palvelut, jotka liittyvät viranomaisten ja heidän valtuuttamiensa tahojen suorittamaan järjestyksen ylläpitoon ja valvontaan. Tässä luokassa ovat myös poliisin vastuulla olevat lupa-asiat.",Denna serviceundergrupp omfattar tjänster relaterade till upprätthållande och övervakning av ordning som utförs av myndigheter och parter som de befullmäktigat. Denna grupp omfattar också tillståndsärenden som polisen ansvarar för.,This service subclass contains services related to the maintenance and monitoring of public order by the authorities and parties authorised by them. It also includes licence and permit issues for which the police are responsible.,,,,
v1169,e447e994-6fb7-4959-9caf-43e2b2d20373,VALID,Tilaisuuksien järjestäminen,Ordnande av evenemang,Organisation of public events,"Tässä palvelualaluokassa käsitellään niitä palveluja ja velvoittavia menettelyjä, jotka liittyvät yleisötilaisuuksien ja julkisilla paikoilla tapahtuvien yleisten kokousten kuten mielenosoitusten järjestämiseen.",I denna serviceundergrupp behandlas tjänster och förpliktande förfaranden relaterade till ordnande av allmänna evenemang och allmänna möten på allmänna platser såsom demonstrationer.,"This service subclass contains the services and mandatory procedures associated with organising open events and public meetings in public places, including demonstrations.",,,,
v1170,e2fb26d6-c327-4721-855c-8ab1aa22acbb,VALID,Löytötavarat,Hittegods,Lost and found property,"Tähän luokkaan liittyvät löytötavaran toimittaminen löytötavarapalveluun sekä löytötavaran säilyttämisen, kyselyn ja omistajalle luovuttamisen menettelyt.","Denna grupp omfattar leverans av hittegods till hittegodstjänster samt förfaranden för förvaring, förfrågningar och överlämnande till ägaren avseende hittegods.","This class contains taking items to a lost and found service and the procedures related to storing, enquiring for and handing to their owners of lost property.",,,,
v1171,00d1b105-18e1-44eb-a7e2-fc67e66bfad9,VALID,Kuluttaja-asiat,Konsumentärenden,Consumer matters,Tässä palveluluokassa käsitellään kuluttajansuojaa ja kuluttajan oikeuksia tavara- ja palvelukaupan sekä vakuutusten kannalta.,I denna servicegrupp behandlas konsumentskydd och konsumenters rättigheter inom varuhandel och service samt försäkring.,This service class includes consumer protection and consumer rights from the perspective of trade in goods and services as well as insurance.,,,,
v1172,15978666-9458-4346-a247-e70bcab1a14e,VALID,Kuluttajansuoja,Konsumentskydd,Consumer protection,"Tähän palvelualaluokkaan kuuluvat kuluttajan oikeudet ja niihin liittyvät tietopalvelut, valitukset, palautukset ja riitatilanteiden käsittely. Luokassa huomioidaan niin tavarakauppa (myymälä- ja verkko-ostaminen), matkailupalvelut ja muut aineettomat palvelut.","Denna serviceundergrupp omfattar konsumenters rättigheter och relaterade informationstjänster, reklamationer, återlämning och behandling av tvister. I gruppen beaktas såväl varuhandel (butiks- och nätinköp) och resetjänster som andra immateriella tjänster.","This service subclass contains consumer rights and information services associated with them, complaints, returns and processing of disputes. The class includes trade in goods (in-store and online purchases), tourism services and other immaterial services.",,,,
v1173,f1254702-a642-4474-b43c-105b49b3e441,VALID,Vakuutukset,Försäkringar,Insurance,"Tässä palvelualaluokassa käsitellään lakisääteisiä ja vapaaehtoisia vakuutuksia, niiden ottamista ja ehtoja, korvausmenettelyjä ja vakuutuspäätöksistä valittamista.","I denna serviceundergrupp behandlas lagstadgade och frivilliga försäkringar, teckning av och villkor för dem, ersättningsförfaranden och överklagande av försäkringsbeslut.","This service subclass contains statutory and voluntary insurance policies, taking out of policies and policy terms, compensation procedures and complaints on insurance decisions.",,,,
v1174,19e683e9-708c-48bf-81cc-2c07eb7a3c44,VALID,Maahan- ja maastamuutto,Immigration och emigration,Immigration and emigration,Tässä palveluluokassa käsitellään ulkomaan kansalaisen muuttamista Suomeen ja Suomen kansalaisen muuttamista ulkomaille ja takaisin Suomeen. Luokkaan kuuluvat lakisääteiset menettelyt kuten luvat ja ilmoitukset sekä näiden lisäksi erilaiset tuki- ja neuvontapalvelut.,I denna servicegrupp behandlas utländska medborgares immigration till Finland och finska medborgares emigration till utlandet och återvändande till Finland. Gruppen omfattar lagstadgade förfaranden såsom tillstånd och anmälningar samt dessutom olika slags stöd- och rådgivningstjänster.,"This service class includes issues related to foreign citizens who migrate to Finland and Finnish citizens who emigrate from and remigrate to Finland. The class contains statutory procedures, including permits and notifications, as well as different support and advisory services.",,,,
v1175,b9668946-405e-4296-a2db-7e95c00d78c3,VALID,Maahantuloluvat ja asiakirjat,Immigrationstillstånd och handlingar,Authorisations to enter and documents,"Tähän palvelualaluokkaan kuuluvat Suomeen tulemiseksi edellytettävät asiakirjat, niiden hakeminen ja käyttö.",Denna serviceundergrupp omfattar handlingar som inresa till Finland förutsätter samt ansökan och användning av dem.,"This service subclass contains documents required for entry into Finland, applying for these documents and their use.",,,,
v1176,95eaa33c-ab8d-4e37-a68e-606a4a1f4bf7,VALID,Maahanmuuttajan työskentely ja opiskelu,Invandrares arbete och studier,Immigrants’ employment and studies,Tässä palvelualaluokassa käsitellään ulkomaan kansalaisen työhön tai opiskeluun tarvitsemia lupia sekä koulutus- ja työmarkkinoilla maahanmuuttajalle tarjottavia tukipalveluja.,I denna serviceundergrupp behandlas tillstånd som utländska medborgare behöver för att kunna arbeta eller studera samt utbildnings- och stödtjänster för invandrare på arbetsmarknaden.,"This service subclass contains permits that a foreign citizen needs to work or study in Finland, and the support services offered in the education and labour markets.",,,,
v1177,f6fbc2bc-f973-4453-b28d-c7d0de4bd8d8,VALID,Kielikurssit,Språkkurser,Language courses,Tähän palvelualaluokkaan kuuluvat erityisesti kotouttamisohjelmiin kuuluvat mutta myös muuten maahanmuuttajan Suomessa oleskelun alkuvaiheisiin tarkoitetut suomen ja ruotsin kielten kurssit ja niille hakeutuminen.,Denna serviceundergrupp omfattar språkkurser i finska och svenska i synnerhet avsedda för personer som deltar i integrationsprogram men också för andra invandrare i början av vistelsen i Finland samt ansökan till dem.,"This service subclass contains Finnish and Swedish language courses, in particular those that are part of integration programmes but also others intended for the early phases of an immigrant's stay in Finland, and applying for a place on these courses.",,,,
v1178,ba9d1974-16df-4ae3-9ccf-a8507a08da01,VALID,Kansalaisuuden hakeminen,Ansökan om medborgarskap,Citizenship applications,"Tässä palvelualaluokassa käsitellään Suomen kansalaisuuden hakemisen prosessiin liittyviä menettelyjä, velvoitteita ja palveluja.","I denna serviceundergrupp behandlas förfaranden, skyldigheter och tjänster relaterade till ansökan om finskt medborgarskap.","This service subclass contains procedures, obligations and services associated with the process of applying for Finnish citizenship.",,,,
v1179,b2a431a8-e346-4704-811c-6c341aaa02d7,VALID,Muuttaminen Suomesta toiseen pohjoismaahan,Flyttning från Finland till ett annat nordiskt land,Moving from Finland to another Nordic country,"Tähän palvelualaluokkaan kuuluvat menettelyt ja palvelut, joita käytetään luokkaotsikon mukaisessa muuttotilanteessa. Näitä ovat tyypillisesti muuttoilmoituksiin, sosiaaliturvaan ja kansalaisuuteen liittyvät asiat.","Denna serviceundergrupp omfattar förfaranden och tjänster som är aktuella vid flyttning från Finland till ett annat nordiskt land. Dessa handlar i allmänhet om flyttningsanmälan, socialskydd och medborgarskap.","This service subclass contains procedures and services used when individuals move from Finland to another Nordic country. Typically, they include issues related to notifications of move, social security and citizenship.",,,,
v1180,9c83af27-75c5-45fb-8f46-4bdbb888b27b,VALID,Muuttaminen Suomesta toiseen EU-valtioon,Flyttning från Finland till ett annat EU-land,Moving from Finland to another EU Member State,"Tähän palvelualaluokkaan kuuluvat menettelyt ja palvelut, joita käytetään luokkaotsikon mukaisessa muuttotilanteessa. Näitä ovat tyypillisesti muuttoilmoituksiin, sosiaaliturvaan ja kansalaisuuteen liittyvät asiat.","Denna serviceundergrupp omfattar förfaranden och tjänster som är aktuella vid flyttning från Finland till ett annat nordiskt land. Dessa handlar i allmänhet om flyttningsanmälan, socialskydd och medborgarskap.","This service subclass contains procedures and services used when individuals move from Finland to another EU Member State. Typically, these include issues related to notifications of move, social security and citizenship.",,,,
v1181,ac59becc-9c32-4721-aba0-deb7521f08ab,VALID,Muuttaminen Suomesta EU:n ulkopuolelle,Flyttning från Finland till ett land utanför EU,Moving from Finland to a non-EU country,"Tähän palvelualaluokkaan kuuluvat menettelyt ja palvelut, joita käytetään luokkaotsikon mukaisessa muuttotilanteessa. Näitä ovat tyypillisesti muuttoilmoituksiin, sosiaaliturvaan ja kansalaisuuteen liittyvät asiat.","Denna serviceundergrupp omfattar förfaranden och tjänster som är aktuella vid flyttning från Finland till ett annat nordiskt land. Dessa handlar i allmänhet om flyttningsanmälan, socialskydd och medborgarskap.","This service subclass contains procedures and services used when individuals move from Finland to a non-EU Member State. Typically, these include issues related to notifications of move, social security and citizenship.",,,,
v1182,49a4c9d3-466f-4000-a7e4-fa1e8c67175f,VALID,Ulkosuomalaiset,Finländare i utlandet,Expatriate Finns,"Tähän palvelualaluokkaan kuuluvat palvelut, jotka on erityisesti suunnattu ulkomailla asuville Suomen kansalaisille.",Denna serviceundergrupp omfattar tjänster som i synnerhet är avsedda för finska medborgare som bor utomlands.,This service subclass contains services particularly targeted at Finnish citizens living abroad.,,,,
v1183,fdb93bcd-29ba-45ad-b140-06fac3682715,VALID,Paluumuutto,Återvändande,Return migration,"Tähän palvelualaluokkaan kuuluvat menettelyt ja palvelut, joita sovelletaan Suomen kansalaisen muuttaessa takaisin Suomeen vakituisen ulkomailla asumisen jälkeen.",Denna serviceundergrupp omfattar förfaranden och tjänster som tillämpas när en finsk medborgare återvänder till Finland efter att ha varit permanent bosatt i utlandet.,This service subclass contains procedures and services applied when a Finnish citizen remigrates to Finland after living permanently abroad.,,,,
v1184,bf6f3acd-62f4-426a-b90c-e96edf5828f1,VALID,Ympäristö,Miljö,The environment,Tässä palveluluokassa käsitellään ympäristöön liittyviä palveluja sekä luonnonympäristöjen että asumis- ja muun rakennetun ympäristön kannalta.,I denna servicegrupp behandlas miljörelaterade tjänster med tanke på såväl naturliga miljöer som boendemiljöer och övriga bebyggda miljöer.,"This service class contains services related to the environment, including both natural environments and living and other built environments.",,,,
v1185,59041d67-02c8-4083-a015-3b92878248c1,VALID,Ympäristön- ja luonnonsuojelu,Miljö- och naturskydd,Environmental protection and conservation,"Tähän palvelualaluokkaan kuuluvat ensi sijassa ympäristöhaittoja ehkäisevät menettelyt kuten tunnettujen haittatekijöiden säätely, lajien suojelu, luonnontilaisten alueiden perustaminen sekä koulutus- ja neuvontapalvelut.","Denna serviceundergrupp omfattar i första hand förfaranden som förebygger miljöolägenheter, såsom reglering av kända skadliga faktorer, skydd av olika arter, etablering av områden i naturtillstånd samt utbildnings- och rådgivningstjänster.","This service subclass primarily includes procedures that prevent environmental nuisances, including controlling known negative impacts, conservation of species, creating natural areas as well as training and advisory services.",,,,
v1186,567def76-0c24-4086-bbcf-26af012bde84,VALID,Jätehuolto,Avfallshantering,Waste management,"Tässä palveluluokassa käsitellään, kunnallista lakisääteistä jätehuoltoa, jätteisiin liittyvää paikallista tutkimusta ja selvityksiä sekä aiheeseen liittyviä tietopalveluja.","I denna serviceundergrupp behandlas kommunal lagstadgad avfallshantering, lokal forskning i och utredning av avfall samt relaterade informationstjänster.","This service subclass contains statutory municipal waste management, local research and studies related to waste as well as information services on waste.",,,,
v1187,847fd8e3-3d29-4152-a0d3-6a8ce7a65c7a,VALID,Vesihuolto,Vattenförsörjning,Water supply,"Tähän palvelualaluokkaan kuuluvat ensi sijassa rakennetun ympäristön jätevesien käsittelyyn liittyvät asiat niin liiketiloissa, ympärivuotisissa asunnoissa kuin loma- ja vapaa-ajan kiinteistöissä.",Denna serviceundergrupp omfattar i första hand ärenden relaterade till hantering av bebyggda miljöers avfallsvatten från såväl affärslokaler och permanenta bostäder som från semester- och fritidsbostäder.,"This service subclass primarily contains issues related to handling sewage in built environments from business premises, permanent dwellings and secondary residences alike.",,,,
v1188,40798f9c-84b7-456a-b99a-183f8b872f58,VALID,Ympäristöilmoitukset ja luvat,Miljöanmälan och -tillstånd,Environmental notifications and permits,"Tähän palvelualaluokkaan kuuluvat ne ilmoitus- ja lupamenettelyt, jotka liittyvät ympäristöä pysyvästi muuttaviin tai ympäristölle mahdollisesti haitallisiin toimenpiteisiin kuten kaivostoimintaan tai ympäristövaarallisiin kemikaaleihin.","Denna serviceundergrupp omfattar anmälnings- och tillståndsförfaranden relaterade till åtgärder som förändrar miljön permanent eller som eventuellt är skadliga för miljön, såsom gruvdrift eller miljöfarliga kemikalier.","This service subclass contains the notification and permit procedures associated with actions that permanently change the environment or are potentially harmful for the environment, including mining or chemicals that pose an environmental hazard.",,,,
v1189,47d6d76e-0e0d-4c26-9c7d-022fe8862004,VALID,Rakennusperintö ja kulttuuriympäristöt,Bebyggda miljöer och kulturmiljöer,Building heritage and cultural environments,"Tässä palvelualaluokassa käsitellään palveluja ja menettelyjä, joilla suojellaan arvokkaaksi katsottua rakennuskantaa joko yksittäisinä rakennuksina tai rakennuskokonaisuuksina.",I denna serviceundergrupp behandlas tjänster och förfaranden som skyddar värdefulla byggnadsbestånd antingen som enskilda byggnader eller som byggnadshelheter.,"This service subclass contains services and procedures aiming to protect built environment deemed as valuable, either individual buildings or groups of buildings.",,,,
v1190,4bfafbd5-0eec-4583-82f0-48f3648bffae,VALID,Ympäristövalvonta ja -terveydenhuolto,Miljötillsyn och -hälsovård,Environmental oversight and hygiene,"Tähän palvelualaluokkaan kuuluvat ne lakisääteiset viranomaismenettelyt, joiden avulla kuntatasolla huolehditaan luonnonympäristön tilasta ja elinympäristön terveellisyydestä.",Denna serviceundergrupp omfattar lagstadgade myndighetsförfaranden med vars hjälp man på kommunnivå tar hand om den naturliga miljöns tillstånd och livsmiljöns sundhet.,This service subclass contains statutory official procedures for maintaining a good status of the natural environment and a healthy living environment.,,,,
v1191,c77101a7-3050-4f54-b09d-8b1b24563a9c,VALID,"Luonnonvarat, eläimet ja kasvit","Naturresurser, djur och växter","Natural resources, flora and fauna",Tässä palveluluokassa käsitellään luonnonvaroja kuten kasveja ja eläimiä lähinnä tuotantotalouden kannalta.,I denna servicegrupp behandlas naturresurser såsom växter och djur främst ur produktionsekonomins perspektiv.,"This service class contains natural resources, including flora and fauna, mainly seen from the perspective of commercial production.",,,,
v1192,7ce5e729-9e2a-4e38-9fe7-1366e5b9d14e,VALID,Luonnonvaraiset kasvit ja eläimet,Vilda växter och djur,Wild plants and animals,"Tähän palvelualaluokkaan kuuluvat luonnonvaraisiin kasveihin ja eläimiin liittyvät palvelut kuten luvat, havaintoilmoitusten tekeminen ja erilaiset tietopalvelut.","Denna serviceundergrupp omfattar tjänster relaterade till vilda växter och djur, såsom tillstånd, anmälningar om observationer och olika informationstjänster.","This service subclass contains services related to wild plants and animals, including licences, reporting of sightings and different information services.",,,,
v1193,0fd7d09c-eb8f-410c-8a27-725aede7924a,VALID,Kasvintuotanto,Växtproduktion,Plant production,"Tässä palvelualaluokassa käsitellään ammattimaiseen kasvituotantoon liittyviä palveluja kuten tuotantotukia, tuholaistorjuntaa ja satovahinkokorvauksia.","I denna serviceundergrupp behandlas tjänster relaterade till professionell växtproduktion, såsom produktionsstöd, bekämpning av skadedjur och ersättningar för missväxt.","This service subclass contains services associated with professional plant production, including production subsidies, pest control and crop damage compensation.",,,,
v1194,f3128401-7083-4ddc-a94b-5cad2b3e214f,VALID,Tuotantoeläimet,Produktionsdjur,Production animals,"Tässä palvelualaluokassa käsitellään tuotantoeläimiin liittyviä palveluja kuten tuotantotukia, ilmoitusvelvoitteita, eläinvahinkokorvauksia ja eläinten hyvinvointiin liittyviä yleisiä velvoitteita.","I denna serviceundergrupp behandlas tjänster relaterade till produktionsdjur, såsom produktionsstöd, anmälningsskyldigheter, ersättningar för djurskador och allmänna skyldigheter avseende djurens välbefinnande.","This service subclass contains services related to production animals, including production subsidies, notification duties, compensation for damage to animals and general obligations related to animal welfare.",,,,
v1195,6023935e-9e55-4d80-8278-417f001dbce2,VALID,Elintarviketuotanto,Livsmedelsproduktion,Food production,"Tähän palvelualaluokkaan kuuluvat muun muassa elintarvikkeiden turvallisuuteen, elintarviketuotannon valvontaan ja luomutuotantoon liittyvät palvelut.","Denna serviceundergrupp omfattar tjänster relaterade till bland annat livsmedelssäkerhet, tillsyn av livsmedelsproduktion och ekologisk produktion.","This service subclass includes services related to food safety, supervision of food production and organic production.",,,,
v1196,2886f8ac-5d8d-4ee2-a6ea-59930a8cac4a,VALID,Eläinlääkäripalvelut,Veterinärtjänster,Veterinary services,"Tähän palvelualaluokkaan kuuluvat palvelut, joiden puitteissa niin tuotanto- kuin lemmikkieläimiä suojataan kärsimykseltä ja edistetään eläinten terveyttä ja hyvinvointia. Tähän liittyvät alueelliset ja paikalliset eläinlääkäripalvelut, tautien ehkäisy, eläinten elinolojen ja hoidon laatu.","Denna serviceundergrupp omfattar tjänster inom vars ram både produktions- och sällskapsdjur skyddas mot lidande och som främjar djurens hälsa och välbefinnande. Hit hör regionala och lokala veterinärtjänster, förebyggande av sjukdomar, kvaliteten på djurens levnadsförhållanden och vården.","This service subclass contains services which protect both production animals and pets from suffering and promote animal health and welfare. It includes regional and local veterinary services, disease prevention, and the quality of animals’ living conditions and care.",,,,
v1197,ebd01069-9730-4d06-b24b-c96d75dead26,VALID,"Metsä-, vesi- ja mineraalivarat","Skogs-, vatten och mineralresurser","Forest, water and mineral resources","Tähän palvelualaluokassa käsitellään palveluja, jotka liittyvät muiden kuin kasvi- tai eläinluonnonvarojen hyötykäyttöön hallinnollisessa tai kaupallisessa tarkoituksessa.",I denna serviceundergrupp behandlas tjänster relaterade till utnyttjande av andra resurser än växt- och djurresurser i administrativt eller kommersiellt syfte.,This service subclass contains services associated with the use of natural resources other than plant or animal based resources for administrative or commercial purposes.,,,,
v1198,b190f4ec-77bd-42c2-a5e1-2478c151fb74,VALID,Kulttuuri,Kultur,Culture,"Tässä palveluluokassa käsitellään kulttuuripalveluja laajasti taiteen eri alojen, kirjastolaitoksen, uskonnollisten yhteisöjen ja vapaan sivistystyön puitteissa. Myös erilaiset vapaa-ajan palvelut kuuluvat tähän luokkaan.","I denna servicegrupp behandlas kulturtjänster på ett omfattande plan inom ramen för olika konstarter, biblioteksväsendet, religiösa samfund och fritt bildningsarbete. Även olika fritidstjänster hör till denna grupp.","This service class contains a wide range of cultural services associated with different branches of arts, the library system, religious organisations and liberal adult education. The class also includes different free time services.",,,,
v1199,a4270eaf-881f-4f05-9deb-3b072baf032c,VALID,Kirjastot ja tietopalvelut,Biblioteks- och informationstjänster,Libraries and information services,Tähän palvelualaluokkaan liittyvät kunnalliset ja valtakunnalliset yleis- ja erikoiskirjastot palveluineen sekä eri organisaatioiden erikoistuneet tietopalvelut niin verkossa kuin palvelupisteissä.,Denna serviceundergrupp anknyter till kommunala och nationella allmän- och specialbibliotek samt olika organisationers specialiserade informationstjänster på både webben och serviceställen.,"This service subclass is associated with municipal and national general and specialist libraries and their services as well as specialised information services provided by different organisations, both online and at service points.",,,,
v1200,67f3306c-55e8-484a-9189-0eac89c72f51,VALID,Taiteet,Konst,Arts,"Tässä palvelualaluokassa käsitellään kuvataiteisiin, taideteollisuuteen, eri esittäviin taiteisiin, musiikkiin ja kirjallisuuteen liittyvää ammatillista ja korkea-asteen koulutusta, yleisölle suunnattuja näyttelyjä ja tapahtumia sekä taidekokoelmiin liittyviä tietopalveluja.","I denna serviceundergrupp behandlas yrkesutbildning och utbildning på högre stadier som anknyter till utställningar och evenemang som riktar sig till allmänheten och som fokuserar på bildkonst, konstindustri, föreställande konstarter, musik och litteratur samt informationstjänster relaterade till konstsamlingar.","This service subclass contains vocational and higher level education and training related to visual arts, arts and design, different performing arts, music and literature, exhibitions and events intended for the public as well as information services associated with art collections.",,,,
v1201,7ca0674b-a167-4654-a186-1aa2bb812242,VALID,Museot,Museer,Museums,"Tähän palvelualaluokkaan liittyvät museoiden fyysiset palvelupisteet ja näyttelytoiminta, rakennusperinnön suojeluun liittyvät asiat sekä museoalan sähköiset palvelut kuten tietopalvelut ja kulttuuriperinnön digitointi.","Denna serviceundergrupp anknyter till museernas fysiska serviceställen och utställningsverksamhet, frågor relaterade till skyddet av byggnadsarvet samt museernas e-tjänster, såsom informationstjänster och digitalisering av kulturarvet.","This service subclass is associated with the physical service points and exhibition activities of museums, issues related to the protection of building heritage, as well as electronic services in the museum sector, including information services and digitalisation of cultural heritage.",,,,
v1202,5e2f4e2d-76ab-476c-a483-1d8d5cfa4b68,VALID,Arkistot,Arkiv,Archives,"Tähän palvelualaluokkaan kuuluvat ensi sijassa Kansallisarkiston, sen alaisten maakunta-arkistojen sekä muiden säädösperustaisesti toimivien arkistojen palvelut.","Denna serviceundergrupp omfattar i första hand tjänster som tillhandahålls av Nationalarkivet, landskapsarkiven under Nationalarkivet och övriga arkiv som regleras av författningar.","This service subclass mainly contains the services of the National Archives Service, the Provincial Archives subordinate to it as well as other statutory archives.",,,,
v1203,3ad91f98-6134-4bb1-8423-250d3ef838b6,VALID,Vapaa-ajan palvelut,Fritidstjänster,Free-time services,"Tähän palvelualaluokkaan kuuluvat vapaa-ajan piiriin laajasti katsottavat palvelut. Tähän luokkaan eivät kuulu liikunnan ja urheilun palvelut, jotka ovat omassa pääluokassaan.","Denna serviceundergrupp omfattar tjänster relaterade till fritiden på ett omfattande plan. Denna grupp omfattar inte motions- och idrottstjänster, som har en egen huvudgrupp.","This service subclass contains free-time services in a wide sense. The class does not include sports and exercise services, which have their own main class.",,,,
v1204,4d98cecd-6581-455d-b295-549f9e147709,VALID,Uskonnot ja elämänkatsomukset,Religioner och livsåskådningar,Religions and world views,"Tässä palvelualaluokassa käsitellään sekä kansankirkkojen, muiden rekisteröityjen uskonnollisten yhteisöjen ja ei-uskonnollisten rekisteröityjen elämänkatsomuksellisten yhteisöjen palveluja. Näitä ovat esimerkiksi yhteisöön liittymisen ja siitä eroamisen asiointipalvelut sekä kasvatukselliset ja sosiaaliset palvelut.","I denna serviceundergrupp behandlas tjänster som tillhandahålls av folkkyrkor, andra registrerade religiösa samfund och icke-religiösa registrerade livsåskådningsmässiga samfund. Exempel på dessa utgörs av tjänster för anslutning till och utträde ur samfund samt pedagogiska och sociala tjänster.","This service subclass contains the services of established churches, other registered religious societies and non-religious registered organisations associated with a specific world view. They include e-services related to joining or leaving an organisation as well as educational and social services.",,,,
v1205,67321d05-8281-4447-88a1-eb96253856c7,VALID,Vapaa sivistystyö ja taidekasvatus,Fritt bildningsarbete och konstfostran,Free adult education and art education,"Tähän palvelualaluokkaan kuuluvat kaikille avointa opisto- ja korkeakouluopetusta, eri taiteiden avointa opetusta sekä lasten ja nuorten taidekasvatusta antavat oppilaitokset opetussisältöineen.","Denna serviceundergrupp omfattar instituts- och högskoleundervisning som är öppen för alla, öppen undervisning i olika konstarter samt läroanstalter som ordnar konstfostran för barn och ungdomar.","This service subclass contains instruction at secondary and higher level educational institutions that is open for all, open instruction in different arts as well as institutions that provide art education for children and young people and their teaching contents.",,,,
v1206,da07280f-1d29-4801-ae14-cc365c816006,VALID,Viestintä,Kommunikation,Communications,"Tässä palveluluokassa käsitellään viestintää joukkoviestinnän ja sähköisen viestinnän YLE, operaattorit, JSN, sananvapaus, yksityisyys, verkkotunnukset, postipalvelut säädösten ja peruspalvelujen kannalta. Luokkaan kuuluvat mm. Yleisradio, julkisen sanan neuvosto, tele- ja internetoperaattorit sekä viestinnän säädökset.","I denna servicegrupp behandlas kommunikation utifrån masskommunikation och elektronisk kommunikation, och den omfattar YLE, operatörer, opinionsnämnden för massmedier, yttrandefrihet, integritet, domännamn och posttjänster med tanke på författningar och primärservice. Gruppen omfattar bland annat Rundradion, opinionsnämnden för massmedier, tele- och internetoperatörer samt författningar om kommunikation.","This service class contains communications from the perspective of mass communication and electronic communication, freedom of speech, privacy, domain names, and postal services from the viewpoint of regulations and basic services. The class includes the Finnish Broadcasting Company, the Council for Mass Media, telecommunications and internet operators and statutes on communication.",,,,
v1207,b784929f-c6e8-468b-a6a7-0878a19d2a0d,VALID,Joukkoviestimet,Massmedier,Mass media,"Tähän palveluluokkaan kuuluvat perinteiset joukkoviestimet (radio, televisio, lehdistö) eri palveluineen, joukkoviestimiin liityvät toimiluvat sekä sananvapauskysymykset.","Denna serviceundergrupp omfattar traditionella massmedier (radio, tv, pressen) med olika tjänster, koncessioner relaterade till massmedier samt frågor om yttrandefrihet.","This service class contains the conventional mass media (radio, television, press) with their various services, operating licences related to mass media as well as questions of freedom of speech.",,,,
v1208,d00a5ea5-1f5e-4391-8ac9-53cdc73c02fc,VALID,Postipalvelut,Posttjänster,Postal services,"Tähän palveluluokkaan kuuluvat ne palvelut, jotka on määritelty postipalvelulain puitteissa julkisiksi tehtäviksi.",Denna serviceundergrupp omfattar tjänster som fastställts som offentliga enligt lagen om posttjänster.,This service class contains the services that have been defined as public service tasks under the Act on Postal Service.,,,,
v1209,f5b2deb0-9174-426f-8b54-5fd0aa20f397,VALID,Tietoliikenne,Datakommunikation,Data communications,"Tähän palveluluokkaan kuuluvat verkko-operaattoreiden palvelut, verkon häiriöistä tiedottaminen, internetin turvallisuus, internet-tunnusten saatavuus ja käyttö sekä kuluttajan asema tietoliikennepalvelujen käyttäjänä.","Denna serviceundergrupp omfattar nätoperatörernas tjänster, information om störningar på nätet, nätsäkerhet, tillgång till och användning av domännamn samt konsumentens ställning som användare av datakommunikationstjänster.","This service class contains the services of network operators, dissemination of information on network issues, Internet security, availability and use of domain names as well as the consumer’s position as a data communications user.",,,,
v1210,e20a33f2-be36-4167-b8dc-68cbde47a4d6,VALID,Liikunta ja ulkoilu,Motion och friluftsliv,Sports and outdoor activities,"Tässä palveluluokassa käsitellään kuntoliikuntaan, ulkoiluun ja luonnossa tapahtuvaan vapaa-ajan toimintaan liittyviä palveluja.","I denna servicegrupp behandlas tjänster relaterade till motion, friluftsliv och fritidsverksamhet ute i naturen.","This service class contains services related to keep-fit exercise, outdoor exercise and free-time activities in nature.",,,,
v1211,2ef7a007-e78b-4e7a-82ef-2cf4560e2077,VALID,Liikunta ja urheilu,Motion och idrott,Sports and exercise,"Tähän palvelualaluokkaan kuuluvat liikuntapaikat, urheiluopistot ja niiden palvelut, liikunnan tietopalvelut ja urheiluseurojen sekä liikuntajärjestöjen toiminta.","Denna serviceundergrupp omfattar motionsställen, idrottsinstitut och deras tjänster, informationstjänster för motion samt idrottsföreningars och motionsorganisationers verksamhet.","This service subclass contains sports facilities, sports institutes and their services, exercise information services and the activities of sports clubs and sports associations.",,,,
